"PY"	"TI"	"AU"	"DES"	"IDS"	"DI"	"SO"	"C1S"	"Coder"	"DT"
2015	"STRUCTURAL INTEGRITY MONITORING OF ONSHORE WIND TURBINE CONCRETE FOUNDATIONS"	"CURRIE M;SAAFI M;TACHTATZIS C;QUAIL F"	"CONCRETE FOUNDATIONS;  FORENSIC INVESTIGATION;  MONITORING;  ONSHORE WIND TURBINE;  STRUCTURAL INTEGRITY"	"CONCRETES;  DATA ACQUISITION;  FIBER OPTIC SENSORS;  FOUNDATIONS;  MONITORING;  STRUCTURAL INTEGRITY;  WIND; CONCRETE FOUNDATION;  DISPLACEMENT PATTERNS;  FORENSIC INVESTIGATION;  ONSHORE WIND TURBINE;  OPERATING CONDITION;  RELIABILITY AND SAFETIES;  SUPERVISORY CONTROL AND DATA ACQUISITION;  VERTICAL DISPLACEMENTS; WIND TURBINES; CONCRETE;  DATA PROCESSING;  DISPLACEMENT;  OPERATIONS TECHNOLOGY;  RELIABILITY ANALYSIS;  STABILIZATION;  TECHNOLOGICAL CHANGE;  VERTICAL MOVEMENT;  WIND DIRECTION;  WIND TURBINE"	"10.1016/j.renene.2015.05.006"	"RENEWABLE ENERGY"	"E D P RENEWABLES LTD, EDINBURGH, EH2 2BY, UNITED KINGDOM;DEPARTMENT OF ENGINEERING, LANCASTER UNIVERSITY, LANCASTER, LA1 4YR, UNITED KINGDOM;DEPARTMENT OF ELECTRICAL AND ELECTRONIC ENGINEERING, UNIVERSITY OF STRATHCLYDE, GLASGOW, G1 1XW, UNITED KINGDOM;ARAMCO TECHNOLOGY OFFICE, ABERDEEN, AB32 6FE, UNITED KINGDOM"	"Scopus"	"ARTICLE"
2015	"STUDY OF THE BEHAVIORS OF GUNSHOT RESIDUES FROM SPENT CARTRIDGES BY HEADSPACE SOLID-PHASE MICROEXTRACTION-GAS CHROMATOGRAPHIC TECHNIQUES"	"CHANG KH;YEW CH;ABDULLAH AFL"	"FORENSIC SCIENCE;  GAS CHROMATOGRAPHY;  GUNSHOT RESIDUE;  SOLID-PHASE MICROEXTRACTION;  SPENT CARTRIDGE;  TIME SINCE DISCHARGE"	NA	"10.1111/1556-4029.12745"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE PROGRAM, SCHOOL OF HEALTH SCIENCES, UNIVERSITI SAINS MALAYSIA, KUBANG KERIAN, 16150, MALAYSIA;ROYAL MALAYSIA POLICE COLLEGE, CHERAS, 43200, MALAYSIA"	"Scopus"	"ARTICLE"
2015	"SUDDEN DEATH OF REPLACEMENT GILTS CAUSED BY VITAMIN E/SELENIUM DEFICIENCY - A CASE REPORT [VITAMIN-E-SELEN-MANGEL ALS URSACHE PLTZLICHER TODESFLLE BEI JUNGSAUEN - EIN FALLBERICHT]"	"HOLLING C;PEITZMEIER EU;WEISSENBCK H;BEILAGE EG"	"DANISH GENETICS;  FEED;  NUTRITIONAL MUSCULAR DEGENERATION"	NA	NA	"PRAKTISCHE TIERARZT"	"AUENSTELLE FR EPIDEMIOLOGIE, STIFTUNG TIERRZTLICHE HOCHSCHULE HANNOVER, BSCHELER STR. 9, BAKUM, 49456, GERMANY;HILLE OBERLBBE, GERMANY;INSTITUT FR PATHOLOGIE UND GERICHTLICHE VETERINRMEDIZIN, VETERINRMEDIZINISCHEN UNIVERSITT WIEN, GERMANY"	"Scopus"	"ARTICLE"
2015	"SYSTEMATIC INVESTIGATION OF DRIP STAINS ON APPAREL FABRICS: THE EFFECTS OF PRIOR-LAUNDERING, FIBRE CONTENT AND FABRIC STRUCTURE ON FINAL STAIN APPEARANCE"	"DE CASTRO TC;TAYLOR MC;KIESER JA;CARR DJ;DUNCAN W"	"BLOODSTAINS;  UNWASHED;  WETTING;  WICKING"	"POLYESTER; ARTICLE;  BLOOD FLOW;  BLOOD STAIN;  BLOOD STORAGE;  COTTON;  FABRIC STRUCTURE;  FLOW KINETICS;  FORENSIC IDENTIFICATION;  LAUNDRY;  NONHUMAN;  PHYSICAL PARAMETERS;  PRIORITY JOURNAL;  TEXTILE;  TEXTILE FIBER;  VELOCITY;  ANIMAL;  CLOTHING;  FORENSIC MEDICINE;  IMAGE PROCESSING;  PIG;  PROCEDURES; ANIMALS;  BLOOD STAINS; COMPUTER-ASSISTED;  LAUNDERING;  SWINE"	"10.1016/j.forsciint.2015.03.004"	"FORENSIC SCIENCE INTERNATIONAL"	"SIR JOHN WALSH RESEARCH INSTITUTE, UNIVERSITY OF OTAGO, DUNEDIN, 9054, NEW ZEALAND;INSTITUTE OF ENVIRONMENTAL SCIENCE AND RESEARCH (ESR) LTD, PO BOX 29-181, CHRISTCHURCH, 8540, NEW ZEALAND;IMPACT AND AMOUR GROUP, CENTRE FOR DEFENCE ENGINEERING, CRANFIELD DEFENCE AND SECURITY, CRANFIELD UNIVERSITY, DEFENCE ACADEMY OF THE UNITED KINGDOM, SHRIVENHAM, OXFORDSHIRE, SN6 8LA, UNITED KINGDOM;ORAL SCIENCES, DISCIPLINE OF PERIODONTICS, UNIVERSITY OF OTAGO, DUNEDIN, 9054, NEW ZEALAND"	"Scopus"	"ARTICLE"
2015	"THE ANALYSIS OF COLORED ACRYLIC, COTTON, AND WOOL TEXTILE FIBERS USING MICRO-RAMAN SPECTROSCOPY. PART 2: COMPARISON WITH THE TRADITIONAL METHODS OF FIBER EXAMINATION"	"BUZZINI P;MASSONNET G"	"CRIMINALISTICS;  DYE ANALYSIS;  FIBERS;  FORENSIC SCIENCE;  FOURIER TRANSFORM INFRARED SPECTROSCOPY;  MICROSCOPY;  MICROSPECTROPHOTOMETRY;  RAMAN SPECTROSCOPY;  THIN-LAYER CHROMATOGRAPHY;  TRACE EVIDENCE"	NA	"10.1111/1556-4029.12654"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC AND INVESTIGATIVE SCIENCE DEPARTMENT, WEST VIRGINIA UNIVERSITY, 304 OGLEBAY HALL, PO BOX 6121, MORGANTOWN, WV  26506-6121, UNITED STATES;ECOLE DES SCIENCES CRIMINELLES, UNIVERSITY OF LAUSANNE, BATOCHIME, QUARTIER UNIL SORGE, DORIGNY, LAUSANNE, CH-1015, SWITZERLAND"	"Scopus"	"ARTICLE"
2015	"THE EFFECT OF FABRIC AND STABBING VARIABLES ON SEVERANCE APPEARANCE"	"COWPER EJ;CARR DJ;HORSFALL I;FERGUSSON SM"	"EXTENSION AND ELASTICITY;  KNIFE;  KNITTED FABRIC;  MALE AND FEMALE PARTICIPANTS;  MORPHOLOGY"	"ADULT;  AGE;  ARTICLE;  CONTROLLED STUDY;  COTTON;  DEVICES;  ELASTICITY;  FEMALE;  HUMAN;  KNIFE;  LAUNDRY;  MALE;  PHYSICAL PARAMETERS;  PRIORITY JOURNAL;  SEVERANCE;  SEX DIFFERENCE;  STAB WOUND;  TEXTILE FIBER;  BIOLOGICAL MODEL;  CLOTHING;  EQUIPMENT DESIGN;  FORENSIC SCIENCE;  MICROSCOPY;  WEAPON; ADULT;  FORENSIC SCIENCES;  HUMANS;  MODELS; BIOLOGICAL;  WEAPONS;  WOUNDS; STAB"	"10.1016/j.forsciint.2015.01.024"	"FORENSIC SCIENCE INTERNATIONAL"	"CENTRE FOR ADVANCED MATERIALS AND PERFORMANCE TEXTILES, RMIT UNIVERSITY, 25 DAWSON STREET, BRUNSWICK, VIC  3056, AUSTRALIA;IMPACT AND ARMOUR GROUP, CENTRE FOR DEFENCE ENGINEERING, CRANFIELD DEFENCE AND SECURITY, CRANFIELD UNIVERSITY, DEFENCE ACADEMY OF THE UNITED KINGDOM, SHRIVENHAM, OXON, SN6 8LA, UNITED KINGDOM"	"Scopus"	"ARTICLE"
2015	"THE INTERACTION BETWEEN CLOTHING AND AIR WEAPON PELLETS"	"WIGHTMAN G;WARK K;THOMSON J"	"AIR RIFLE;  AIR WEAPON;  BALLISTIC;  CLOTHING;  GEL;  PELLET"	"BALLISTIC GEL;  GELATIN;  UNCLASSIFIED DRUG; AIR WEAPON PELLET;  ARTICLE;  CLOTHING;  COMPARATIVE STUDY;  CONTROLLED STUDY;  DRIVE;  FABRIC WEAVE;  GEL TRANSPARENCY;  PARAMETERS;  PELLET SHAPE;  PENETRATION DEPTH;  PH;  PHYSICAL CONSISTENCY;  PHYSICAL PARAMETERS;  RUPTURE STRENGTH;  SHOOTING RANGE;  SIMULATION;  WEAPON;  AIR;  BALLISTICS;  BIOLOGICAL MODEL;  HUMAN;  PENETRATING TRAUMA; AIR;  FORENSIC BALLISTICS;  HUMANS;  MODELS; BIOLOGICAL;  WEAPONS;  WOUNDS; PENETRATING"	"10.1016/j.forsciint.2014.10.039"	"FORENSIC SCIENCE INTERNATIONAL"	"SCHOOL OF SCIENCE ENGINEERING AND TECHNOLOGY, ABERTAY UNIVERSITY, BELL STREET, DUNDEE, SCOTLAND, DD1 1HG, UNITED KINGDOM"	"Scopus"	"ARTICLE"
2015	"THE INTERACTIVE EFFECT OF THE DEGRADATION OF COTTON CLOTHING AND DECOMPOSITION FLUID PRODUCTION ASSOCIATED WITH DECAYING REMAINS"	"UELAND M;NIZIO KD;FORBES SL;STUART BH"	"FORENSIC TAPHONOMY;  GC-MS;  INFRARED SPECTROSCOPY;  LIPID;  PROTEIN;  TEXTILES"	"ANIMAL EXPERIMENT;  ARTICLE;  CARCASS;  CLOTHING;  CONTROLLED STUDY;  COTTON;  DECOMPOSITION;  DEGRADATION;  DOMESTIC PIG;  FORENSIC IDENTIFICATION;  FOURIER TRANSFORM INFRARED PHOTOACOUSTIC SPECTROSCOPY;  GAS CHROMATOGRAPHY;  LIPID ANALYSIS;  MASS SPECTROMETRY;  NONHUMAN;  PRIORITY JOURNAL;  PROTEIN ANALYSIS;  TEXTILE FIBER;  ANIMAL;  ANIMAL MODEL;  CHEMISTRY;  INFRARED SPECTROSCOPY;  MULTIVARIATE ANALYSIS;  PIG;  POSTMORTEM CHANGE; AMIDE;  LIPID; AMIDES;  ANIMALS;  LIPIDS;  MODELS; ANIMAL;  POSTMORTEM CHANGES;  SPECTROSCOPY; FOURIER TRANSFORM INFRARED;  SWINE"	"10.1016/j.forsciint.2015.05.029"	"FORENSIC SCIENCE INTERNATIONAL"	"CENTRE FOR FORENSIC SCIENCE, UNIVERSITY OF TECHNOLOGY SYDNEY, PO BOX 123, BROADWAY, NSW  2007, AUSTRALIA"	"Scopus"	"ARTICLE"
2015	"THE PREVALENCE OF TWO `COMMONLY' ENCOUNTERED SYNTHETIC TARGET FIBRES WITHIN A LARGE URBAN ENVIRONMENT"	"PALMER R;BURNETT E;LUFF N;WAGNER C;STINGA G;CARNEY C;SHERIDAN K"	"BAYESIAN FRAMEWORK;  DISCRIMINATION;  EVIDENCE EVALUATION;  FIBRES;  INSTRUMENTAL ANALYSIS;  TARGET FIBRE STUDIES"	"ACRYLIC ACID;  POLYESTER; ANALYTIC METHOD;  ARTICLE;  AUDIOVISUAL EQUIPMENT;  CLINICAL ASSESSMENT;  CLOTHING;  COLOR;  COMPARATIVE STUDY;  CONTROLLED STUDY;  DATA BASE;  FORENSIC SCIENCE;  LABORATORY;  NONHUMAN;  POPULATION;  PREVALENCE;  SEAT;  SOCIAL WORKER;  STEREOMICROSCOPY;  SURFACE PROPERTY;  SYNTHETIC FIBER;  TEXTILE FIBER;  TEXTILE INDUSTRY;  ULTRAVIOLET SPECTROPHOTOMETRY;  URBAN AREA"	"10.1016/j.scijus.2015.01.001"	"SCIENCE AND JUSTICE"	"NORTHUMBRIA UNIVERSITY CENTRE FOR FORENSIC SCIENCE, FACULTY OF HEALTH AND LIFE SCIENCES, NORTHUMBRIA UNIVERSITY, ELLISON BUILDING, NEWCASTLE UPON TYNE, UNITED KINGDOM"	"Scopus"	"ARTICLE"
2015	"THE UTILITY OF SPATIAL ANALYSIS IN THE RECOGNITION OF NORMAL AND ABNORMAL PATTERNS IN BURNED HUMAN REMAINS"	"FOJAS CL;CABO LL;PASSALACQUA NV;RAINWATER CW;PUENTES KS;SYMES SA"	"ALTERED HUMAN REMAINS;  BURNED BODIES;  FORENSIC ANTHROPOLOGISTS;  INDUSTRIAL CREMATION PROCEDURES;  POST FACTO EXAMINATIONS;  THERMAL TRAUMA"	NA	"10.1002/9781118384213.ch16"	"SKELETAL TRAUMA ANALYSIS-CASE STUDIES IN CONTEXT"	"DEPARTMENT OF ANTHROPOLOGY, UNIVERSITY OF TENNESSEE, KNOXVILLE, TN  37996, UNITED STATES;DEPARTMENT OF APPLIED FORENSIC SCIENCES, MERCYHURST, ERIE, PA  16546, UNITED STATES;JOINT POW/MIA ACCOUNTING COMMAND - CENTRAL IDENTIFICATION LABORATORY, JOINT BASE PEARL HARBOR-HICKAMHI  96853-5530, UNITED STATES;NEW YORK UNIVERSITY, NEW YORK, NY  10016, UNITED STATES;DEPARTMENT OF ANTHROPOLOGY, CENTER FOR THE STUDY OF HUMAN ORIGINS, NEW YORK UNIVERSITY, NEW YORK, NY  10003, UNITED STATES;NATIONAL INSTITUTE OF LEGAL MEDICINE AND FORENSIC SCIENCES, NORTH BRANCH, PORTO, 4050-167, PORTUGAL;DEPARTMENT OF APPLIED FORENSIC SCIENCES, MERCYHURST, ERIE, PA  16546, UNITED STATES"	"Scopus"	"BOOK"
2015	"TOWARDS SOURCE LEVEL EVALUATION OF THE EVIDENTIAL VALUE OF FIBRE EXAMINATIONS"	"VOOIJS C;VERGEER P;VAN DER WEERD J"	"DISCRIMINATION POWER;  DISCRIMINATION STUDY;  FIBER EVIDENCE;  LIKELIHOOD RATIO LR;  MATCH;  NUMERICAL EVALUATION;  POPULATION STUDY"	"ACCURACY;  ARTICLE;  CRIME;  DISCRIMINANT ANALYSIS;  FORENSIC FIBER EXAMINATION;  FORENSIC IDENTIFICATION;  GLOVE;  LEGAL EVIDENCE;  PRIORITY JOURNAL;  PROBABILITY;  PROTECTIVE CLOTHING;  STATISTICAL MODEL;  TEXTILE FIBER;  VALIDATION PROCESS"	"10.1016/j.forsciint.2015.02.009"	"FORENSIC SCIENCE INTERNATIONAL"	"NETHERLANDS FORENSIC INSTITUTE, P.O. BOX 24044, THE HAGUE, 2490AA, NETHERLANDS"	"Scopus"	"ARTICLE"
2015	"UNDERSTANDING THE VISIBILITY OF BLOOD ON DARK SURFACES: A PRACTICAL EVALUATION OF VISIBLE LIGHT, NIR, AND SWIR IMAGING"	"SCHOTMAN TG;WESTEN AA;VAN DER WEERD J;DE BRUIN KG"	"BLOOD;  BLOODSTAIN PATTERN ANALYSIS;  FABRIC;  INFRARED;  PHOTOGRAPHY;  TEXTILE"	"DYE; ARTICLE;  BLOOD;  BLOODSTAIN PATTERN ANALYSIS;  CAMERA;  COLOR;  DILUTION;  FORENSIC SCIENCE;  INFRARED PHOTOGRAPHY;  LIGHT;  NEAR INFRARED VIDEO CAMERA;  PRIORITY JOURNAL;  SHORT WAVE INFRARED VIDEO CAMERA;  SURFACE PROPERTY;  TEXTILE FIBER;  VISIBILITY;  BLOOD STAIN;  HUMAN;  INFRARED RADIATION;  PHOTOGRAPHY;  TEXTILE; BLOOD STAINS;  FORENSIC SCIENCES;  HUMANS;  INFRARED RAYS;  TEXTILES"	"10.1016/j.forsciint.2015.08.024"	"FORENSIC SCIENCE INTERNATIONAL"	"NETHERLANDS FORENSIC INSTITUTE, PO BOX 24044, THE HAGUE, 2490 AA, NETHERLANDS"	"Scopus"	"ARTICLE"
2015	"USING A FORENSIC SCIENCE APPROACH TO MINIMIZE ENVIRONMENTAL CONTAMINATION AND TO IDENTIFY MICROFIBRES IN MARINE SEDIMENTS"	"WOODALL LC;GWINNETT C;PACKER M;THOMPSON RC;ROBINSON LF;PATERSON GLJ"	"DEEP-SEA;  MICROFIBRE;  MICROPLASTIC;  POLLUTION;  SEDIMENT"	"POLLUTION;  SEDIMENTS;  SHIPS;  SUBMARINE GEOLOGY;  WATER POLLUTION; CONTROL MEASURES;  DEEP SEA;  ENVIRONMENTAL CONTAMINATION;  FORENSIC SCIENCE;  MARINE SEDIMENTS;  MICROFIBRE;  MICROPLASTIC;  RESEARCH VESSELS; MARINE POLLUTION; ACRYLIC ACID COPOLYMER;  CELLULOSE;  COPOLYMER;  MODACRYLIC ACID;  NANOFIBER;  PLASTIC;  POLYESTER;  UNCLASSIFIED DRUG;  WATER;  WATER POLLUTANT; DEEP-SEA SEDIMENT;  POLLUTION CONTROL;  SEDIMENT POLLUTION; ARTICLE;  CONTROLLED STUDY;  ENVIRONMENTAL MONITORING;  NYLON FIBER;  PREVALENCE;  SEA POLLUTION;  SEDIMENT;  SYNTHETIC FIBER;  ANALYSIS;  CHEMISTRY;  POLLUTION;  PREVENTION AND CONTROL;  PROCEDURES; ENVIRONMENTAL MONITORING;  ENVIRONMENTAL POLLUTION;  FORENSIC SCIENCES;  GEOLOGIC SEDIMENTS;  PLASTICS;  WATER POLLUTANTS; CHEMICAL"	"10.1016/j.marpolbul.2015.04.044"	"MARINE POLLUTION BULLETIN"	"DEPARTMENT OF LIFE SCIENCES, NATURAL HISTORY MUSEUM, LONDON, SW7 5BD, UNITED KINGDOM;DEPARTMENT OF FORENSIC AND CRIME SCIENCE, STAFFORDSHIRE UNIVERSITY, STOKE-ON-TRENT, ST4 2DF, UNITED KINGDOM;SCHOOL OF MARINE SCIENCE AND ENGINEERING, PLYMOUTH UNIVERSITY, PLYMOUTH, DEVON, PL4 8AA, UNITED KINGDOM;SCHOOL OF EARTH SCIENCES, UNIVERSITY OF BRISTOL, BRISTOL, BS8 1RJ, UNITED KINGDOM"	"Scopus"	"ARTICLE"
2015	"UTILIZATION OF ENVIRONMENTALLY ACQUIRED VERY SMALL PARTICLES AS A MEANS OF ASSOCIATION"	"STONEY DA;BOWEN AM;STONEY PL"	"ASSOCIATION;  CARPET FIBERS;  EDS ANALYSIS;  SEM ANALYSIS;  TRACE EVIDENCE;  VERY SMALL PARTICLES"	"ALUMINUM;  BARIUM;  BISMUTH;  BROMINE;  CALCIUM;  CHLORINE;  CHROMIUM;  COPPER NANOPARTICLE;  GOLD NANOPARTICLE;  IRON NANOPARTICLE;  LANTHANUM;  LEAD;  MAGNESIUM;  MANGANESE;  NANOPARTICLE;  NICKEL NANOPARTICLE;  NYLON;  POLYESTER;  SILICON;  SILVER NANOPARTICLE;  SODIUM;  SULFUR;  TARGET PARTICLE TYPE;  TIN;  TITANIUM;  TUNGSTEN;  UNCLASSIFIED DRUG;  UNINDEXED DRUG;  VERY SMALL PARTICLE;  ZINC;  ZIRCONIUM; ARTICLE;  CARPET;  COMPUTER ANALYSIS;  CONTROLLED STUDY;  ENERGY DISPERSIVE SPECTROSCOPY;  FORENSIC IDENTIFICATION;  LEGAL EVIDENCE;  LIMIT OF DETECTION;  NANOANALYSIS;  NANOFILTRATION;  PARTICLE SIZE;  PRIORITY JOURNAL;  QUANTITATIVE ANALYSIS;  SCANNING ELECTRON MICROSCOPY;  SPECTROSCOPY;  SURFACE PROPERTY;  TEXTILE FIBER"	"10.1016/j.forsciint.2015.06.002"	"FORENSIC SCIENCE INTERNATIONAL"	"STONEY FORENSIC INC., 14101-G WILLARD ROAD, CHANTILLY, VA  20151-2934, UNITED STATES;U.S. POSTAL INSPECTION SERVICE, 22433 RANDOLPH DRIVE, DULLES, VA  20104, UNITED STATES"	"Scopus"	"ARTICLE"
2015	"UV-VIS MICROSPECTROPHOTOMETRY AS A METHOD OF DIFFERENTIATION BETWEEN COTTON FIBRE EVIDENCE COLOURED WITH REACTIVE DYES"	"WAS-GUBALA J;STARCZAK R"	"CIELCIELAB;  COLOUR MEASUREMENT;  COTTON FIBRE;  FORENSIC;  MSP UV-VIS;  REACTIVE DYES"	"COLOR;  COTTON FABRICS;  COTTON FIBERS;  FIBERS;  WEAVING; ABSORBANCE MEASUREMENTS;  COLOUR MEASUREMENT;  FORENSIC;  MICROSPECTROPHOTOMETRY;  MSP UV-VIS;  REACTIVE DYES;  TRANSMISSION MODE;  WOVEN COTTON FABRICS; COTTON; COLORING AGENT; COLOR;  COTTON;  EVALUATION STUDY;  LIMIT OF DETECTION;  PROCEDURES;  ULTRAVIOLET SPECTROPHOTOMETRY;  COLORING AGENTS;  COTTON FIBER;  SPECTROPHOTOMETRY; ULTRAVIOLET"	"10.1016/j.saa.2015.01.116"	"SPECTROCHIMICA ACTA - PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY"	"INSTITUTE OF FORENSIC RESEARCH, DEPARTMENT OF CRIMINALISTICS, WESTERPLATTE 9, KRAKOW, 31-033, POLAND;JAGIELLONIAN UNIVERSITY, DEPARTMENT OF ANALYTICAL CHEMISTRY, INGARDENA 3, KRAKOW, 30-060, POLAND"	"Scopus"	"ARTICLE"
2015	"WOOD SWELLING: PRESSURES EXERTED FROM SATURATED WOOD MATERIALS"	"WELLS N;MOON RE"	NA	"LAMINATED COMPOSITES;  MOISTURE;  PLYWOOD;  SWELLING;  WOOD;  WOOD PRODUCTS; COMPOSITE WOODS;  FORENSIC INVESTIGATION;  MAXIMUM PRESSURE;  MEDIUM DENSITY FIBERBOARDS;  MOISTURE ABSORPTION;  ORIENTED STRANDBOARD;  SOLID WOOD PRODUCTS;  SWELLING PRESSURES; FORENSIC ENGINEERING; LAMINATES;  MOISTURE CONTENT;  PRESSURE;  SATURATION"	"10.1061/9780784479711.021"	"FORENSIC ENGINEERING 2015-PERFORMANCE OF THE BUILT ENVIRONMENT - PROCEEDINGS OF THE 7TH CONGRESS ON FORENSIC ENGINEERING"	"GHD, 4019 EAST FOWLER AVE., TAMPA, FL  33617, UNITED STATES"	"Scopus"	"CONFERENCE MATERIAL"
2016	"10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION"	"DE WAEL K;LEPOT L;LUNSTROOT K;GASON F"	"1:1 TAPING;  FIBRE EXAMINATION;  MICROTRACE RECOVERY;  TAPE LIFTING;  ZONAL TAPING"	"BELGIUM;  CRIME VICTIM;  EXAMINATION;  FIBER;  FORENSIC IDENTIFICATION;  HOMICIDE;  HUMAN;  OUTCOME VARIABLE;  REVIEW;  SELECTION BIAS;  TAPE LIFTING TECHNIQUE;  CLOTHING;  FORENSIC MEDICINE;  PROCEDURES; CLOTHING;  CRIME VICTIMS;  HUMANS"	"10.1016/j.scijus.2015.07.002"	"SCIENCE AND JUSTICE"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY, BRUSSELS, BELGIUM"	"Scopus"	"ARTICLE"
2016	"2016 IEEE SYMPOSIUM ON TECHNOLOGIES FOR HOMELAND SECURITY, HST 2016"	"NA NA"	NA	NA	NA	"2016 IEEE SYMPOSIUM ON TECHNOLOGIES FOR HOMELAND SECURITY, HST 2016"	NA	"Scopus"	"CONFERENCE MATERIAL"
2016	"A STUDY OF BLACK FLEECE GARMENTS: CAN FLEECE FIBRES BE RECOGNIZED AND HOW VARIABLE ARE THEY?"	"LUNSTROOT K;ZIERNICKI D;VANDEN DRIESSCHE T"	"BLACK POLYESTER FIBRES;  FIBRE DISCRIMINATION;  FLEECE GARMENTS;  FORENSIC FIBRE INVESTIGATION"	"POLYAMIDE;  POLYESTER; ABSORPTION SPECTROSCOPY;  ARTICLE;  BRIGHT FIELD MICROSCOPY;  FLEECE GARMENT;  FLUORESCENCE MICROSCOPY;  INFRARED SPECTROSCOPY;  MICROSCOPY;  MICROSPECTROPHOTOMETRY;  POLARIZED MICROSCOPY;  SURFACE PROPERTY;  TEXTILE"	"10.1016/j.scijus.2015.12.006"	"SCIENCE AND JUSTICE"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY, FIBRES AND TEXTILES LABORATORY, VILVOORDSESTEENNWEG 100, BRUSSELS, B-1120, BELGIUM"	"Scopus"	"ARTICLE"
2016	"A SURVEY OF EXTRACTION SOLVENTS IN THE FORENSIC ANALYSIS OF TEXTILE DYES"	"GROVES E;PALENIK CS;PALENIK CS"	"DYES;  EXTRACTION;  FORENSIC SCIENCE;  PYRIDINE:WATER;  TEXTILE FIBERS;  TRACE EVIDENCE"	"ACETIC ACID;  ACETONE;  ALCOHOL;  AMMONIA;  ANILINE;  CAPROLACTAM;  CELLULASE;  CHLOROBENZENE;  CHLOROFORM;  DYE;  ETHYLENEDIAMINE;  PYRIDINE;  WATER; ARTICLE;  CHEMICAL ANALYSIS;  INFRARED SPECTROSCOPY;  PRIORITY JOURNAL;  RAMAN SPECTROMETRY;  SOLVENT EXTRACTION;  TEXTILE FIBER;  TEXTILE INDUSTRY;  THIN LAYER CHROMATOGRAPHY"	"10.1016/j.forsciint.2016.03.043"	"FORENSIC SCIENCE INTERNATIONAL"	"MICROTRACE LLC 790 FLETCHER DR., SUITE 106, ELGIN, IL  60123, UNITED STATES"	"Scopus"	"ARTICLE"
2016	"ADVANCING THE FORENSIC ANALYSIS OF DYED FIBERS BY TIME-OF-FLIGHT MASS SPECTROMETRY"	"ZHOU C;BECK KR;HINKS D;CRAWFORD A;BLAKE SL"	"ACID DYES;  DISPERSE DYES;  FORENSICS;  HPLC;  MASS SPECTROMETRY;  POLYESTER;  SIMS;  TOF"	"DYES;  EXTRACTION;  FORENSIC SCIENCE;  HIGH PERFORMANCE LIQUID CHROMATOGRAPHY;  INDUCTIVELY COUPLED PLASMA;  MASS SPECTROMETRY;  POLYESTERS;  SECONDARY ION MASS SPECTROMETRY; ACID DYE;  DISPERSE DYES;  FORENSIC ANALYSIS;  FORENSICS;  HPLC;  MOLECULAR FORMULA;  TIME OF FLIGHT MASS SPECTROMETRY;  TRACE EVIDENCES; FIBERS; DISPERSE DYES;  DYES;  FIBERS"	"10.14504/ajr.3.2.4"	"AATCC JOURNAL OF RESEARCH"	"NORTH CAROLINA STATE UNIVERSITY, UNITED STATES"	"Scopus"	"ARTICLE"
2016	"ANALYSES OF TRACE AMOUNTS OF DYES WITH A NEW ENHANCED SENSITIVITY FTIR SPECTROSCOPIC TECHNIQUE: MU-ATR (METAL UNDERLAYER ATR SPECTROSCOPY)"	"PRATI S;MILOSEVIC M;SCIUTTO G;BONACINI I;KAZARIAN SG;MAZZEO R"	"DYES;  ENHANCED FTIR;  FTIR MICROSCOPY;  METAL UNDERLAYER ATR SPECTROSCOPY;  TRACE ANALYSIS"	"DYES;  METAL ANALYSIS;  SPECTRUM ANALYSIS;  TRACE ANALYSIS;  TRACE ELEMENTS; ARCHAEOLOGICAL OBJECTS;  CONSERVATION SCIENCE;  ENHANCED SENSITIVITY;  FTIR;  FTIR MICROSCOPY;  ORGANIC SUBSTANCES;  SPECTROSCOPIC TECHNIQUE;  UNDERLAYERS; FOURIER TRANSFORM INFRARED SPECTROSCOPY; ACID ORANGE 20;  ACID ORANGE 7;  ACID RED 18;  ACID RED 25;  ACID RED 51;  ACID RED 87;  ACID RED 88;  ACID VIOLET 7;  ACID YELLOW 1;  ACID YELLOW 11;  ACID YELLOW 2;  ACID YELLOW 51;  BASIC VIOLET 1;  BASIC VIOLET 3;  CONGO RED;  DYE;  UNCLASSIFIED DRUG; ARTICLE;  CHEMICAL STRUCTURE;  INFRARED SPECTROSCOPY;  METAL UNDERLAYER ATTENUATED TOTAL REFLECTION;  PRIORITY JOURNAL;  SENSITIVITY ANALYSIS;  SIMULATION;  SPECTROSCOPY;  VALIDATION STUDY"	"10.1016/j.aca.2016.09.005"	"ANALYTICA CHIMICA ACTA"	"DEPARTMENT OF CHEMISTRY, MICROCHEMISTRY AND MICROSCOPY ART DIAGNOSTIC LABORATORY, UNIVERSITY OF BOLOGNA, VIA GUACCIMANNI 42, RAVENNA, 48121, ITALY;MEV TECHNOLOGIES LLC, WESTPORT, CT  06880, UNITED STATES;DEPARTMENT OF CHEMICAL ENGINEERING, IMPERIAL COLLEGE LONDON, LONDON, UNITED KINGDOM"	"Scopus"	"ARTICLE"
